counter_id,date,time,count,workday,weather
9000000619-1,2020-09-03,7.0,150.2698812522489,1,good
9000000619-1,2020-09-03,8.0,169.53642384105967,1,good
9000000619-1,2020-09-03,9.0,138.21542836829,1,good
9000000619-1,2020-09-03,10.0,157.1603427172582,1,good
9000000619-1,2020-09-03,11.0,173.4767025089605,1,good
9000000619-1,2020-09-03,12.0,134.6200241254523,1,good
9000000619-1,2020-09-03,13.0,154.680306905371,1,good
9000000619-1,2020-09-03,17.0,214.38515081206492,1,good
9000000619-1,2020-09-03,18.0,149.56647398843927,1,good
9000000619-1,2020-09-03,19.0,115.2000000000001,1,good
9000000619-1,2020-09-04,7.0,180.58252427184487,1,good
9000000619-1,2020-09-04,8.0,85.7568238213399,1,good
9000000619-1,2020-09-04,9.0,108.7557603686636,1,good
9000000619-1,2020-09-04,10.0,117.3520561685056,1,good
9000000619-1,2020-09-04,11.0,125.49655451965961,1,good
9000000619-1,2020-09-04,12.0,146.1928934010152,1,good
9000000619-1,2020-09-04,16.0,305.1301115241645,1,good
9000000619-1,2020-09-04,17.0,192.3959827833578,1,good
9000000619-1,2020-09-04,18.0,133.6764705882352,1,good
9000000619-1,2020-09-05,7.0,3.2157213041536403,0,good
9000000619-1,2020-09-05,8.0,5.524296675191821,0,good
9000000619-1,2020-09-05,12.0,1.57894736842105,0,good
9000000619-1,2020-09-05,15.0,138.31376734258282,0,good
9000000619-1,2020-09-05,16.0,86.79525222551929,0,good
9000000619-1,2020-09-05,17.0,101.01718695194668,0,good
9000000619-1,2020-09-05,18.0,87.07581227436819,0,good
9000000619-1,2020-09-06,7.0,27.55842062852538,0,good
9000000619-1,2020-09-06,8.0,23.441860465116307,0,good
9000000619-1,2020-09-06,9.0,28.8721804511278,0,good
9000000619-1,2020-09-06,10.0,50.403877221324706,0,good
9000000619-1,2020-09-06,11.0,63.208300079808396,0,good
9000000619-1,2020-09-06,12.0,56.7865003668378,0,good
9000000619-1,2020-09-06,13.0,83.75089477451681,0,good
9000000619-1,2020-09-06,14.0,86.9836321122369,0,good
9000000619-1,2020-09-06,15.0,146.36233951497877,0,good
9000000619-1,2020-09-06,16.0,93.82363441628,0,good
9000000619-1,2020-09-06,17.0,94.0834845735027,0,good
9000000619-1,2020-09-06,18.0,84.3956043956044,0,good
9000000619-1,2020-09-07,7.0,172.75747508305608,1,good
9000000619-1,2020-09-07,8.0,173.6334405144695,1,good
9000000619-1,2020-09-07,9.0,150.2139800285307,1,good
9000000619-1,2020-09-07,10.0,142.8267800212539,1,good
9000000619-1,2020-09-07,11.0,192.2580645161297,1,good
9000000619-1,2020-09-07,12.0,174.7323340471097,1,good
9000000619-1,2020-09-07,13.0,200.5030542579948,1,good
9000000619-1,2020-09-07,14.0,237.70883054892582,1,good
9000000619-1,2020-09-07,16.0,315.4158964879858,1,good
9000000619-1,2020-09-07,17.0,185.0832729905859,1,good
9000000619-1,2020-09-07,18.0,169.258589511754,1,good
9000000619-1,2020-09-08,7.0,178.4796180683075,1,good
9000000619-1,2020-09-08,8.0,152.9967308390847,1,good
9000000619-1,2020-09-08,9.0,148.92086330935248,1,good
9000000619-1,2020-09-08,10.0,162.3121387283238,1,good
9000000619-1,2020-09-08,11.0,121.9354838709678,1,good
9000000619-1,2020-09-08,12.0,134.79175431215822,1,good
9000000619-1,2020-09-08,15.0,300.1111522786219,1,good
9000000619-1,2020-09-08,16.0,246.59390289800473,1,good
9000000619-1,2020-09-08,17.0,173.0272596843613,1,good
9000000619-1,2020-09-08,18.0,135.9735973597357,1,good
9000000619-1,2020-09-09,7.0,187.46948738812011,1,good
9000000619-1,2020-09-09,8.0,99.47594092424961,1,good
9000000619-1,2020-09-09,9.0,118.58823529411758,1,good
